position,player_name,lane_agility_time,shuttle_run,three_quarter_sprint,standing_vertical_leap,max_vertical_leap,max_bench_press_repetitions
SG-PG,Josh Selby,11.13,,3.2,29.5,42.0,5.0
PG-SG,Iman Shumpert,11.1,,3.18,36.5,42.0,18.0
SF,Kyle Singler,11.22,,3.21,23.0,30.0,10.0
SF,Chris Singleton,11.33,,3.09,30.5,37.5,15.0
PF,Jamie Skeen,12.43,,3.46,26.0,30.5,10.0
PG,Nolan Smith,11.05,,3.17,28.5,34.0,9.0
PF-C,Gregory Smith,12.43,,3.36,29.5,36.0,17.0
PF,Malcolm Thomas,11.31,,3.29,32.0,36.5,3.0
PG,Isaiah Thomas,10.49,,3.14,31.5,40.0,13.0
PF,Trey Thompkins,11.72,,3.41,27.5,30.5,15.0
PF,Tristan Thompson,10.92,,3.26,30.0,35.0,9.0
SG,Klay Thompson,10.99,,3.24,26.5,31.5,5.0
PF-C,Jeremy Tyler,11.26,,3.29,28.0,33.5,10.0
PF-C,Nikola Vucevic,12.02,,3.27,23.5,25.0,8.0
PG,Kemba Walker,10.87,,3.16,32.0,39.5,7.0
PF,Jordan Williams,12.74,,3.45,25.0,30.5,10.0
PF-SF,Derrick Williams,11.03,,3.23,29.0,34.5,19.0
C,Solomon Alabi,13.2,,3.68,22.5,26.0,10.0
C,Cole Aldrich,11.48,,3.35,23.0,28.0,10.0
SF,Al-Farouq Aminu,11.29,,3.3,27.0,33.5,13.0
SF,James Anderson,11.86,,3.19,30.0,35.5,14.0
SF-PF,Luke Babbitt,10.98,,3.4,29.5,37.5,15.0
PG,Eric Bledsoe,,,,,,9.0
PF,Trevor Booker,11.15,,3.1,31.0,36.0,22.0
PF-SF,Craig Brackins,11.65,,3.39,26.0,35.0,6.0
SG-PG,Avery Bradley,11.47,,3.14,31.5,37.5,2.0
PF,Derrick Caracter,12.78,,3.61,25.0,30.5,22.0
PG,Sherron Collins,12.31,,3.24,27.5,33.0,
C,DeMarcus Cousins,11.4,,3.55,23.5,27.5,
SG,Jordan Crawford,11.03,,3.37,31.5,34.5,7.0
PF,Ed Davis,11.7,,3.21,31.0,36.0,
SF,Devin Ebanks,11.69,,3.44,23.5,32.0,6.0
PF,Derrick Favors,11.74,,3.25,31.5,35.5,14.0
PF-C,Keith Gallon,13.44,,3.7,23.5,28.5,14.0
SF,Charles Garcia,11.65,,3.23,24.5,30.5,2.0
SF,Paul George,,,,,,4.0
PF,Luke Harangody,11.83,,3.41,24.0,28.5,23.0
SG,Manny Harris,,,,,,11.0
SG-SF,Lazar Hayward,10.87,,3.31,31.0,36.0,15.0
SF,Gordon Hayward,11.73,,3.22,30.5,34.5,10.0
SG,Xavier Henry,11.1,,3.18,28.5,36.5,8.0
SG-SF,Darington Hobson,11.68,,3.25,29.0,34.0,
SF,Damion James,10.89,,3.2,29.0,33.0,13.0
SF,Wesley Johnson,11.43,,3.14,32.0,37.0,16.0
PG-SG,Armon Johnson,11.25,,3.19,31.5,38.5,18.0
SG,Dominique Jones,10.88,,3.31,26.0,32.5,19.0
C,Jerome Jordan,,,,,,
SG,Sylven Landesberg,11.59,,3.36,28.0,32.0,8.0
PF,Gani Lawal,11.61,,3.24,27.0,31.5,20.0
PF-C,Greg Monroe,12.1,,3.35,25.0,29.0,15.0
C,Daniel Orton,12.32,,3.39,24.0,30.5,13.0
C,Artsiom Parakhouski,12.07,,3.33,25.5,26.5,16.0
PF,Patrick Patterson,11.14,,3.25,28.5,33.5,17.0
PF-C,Dexter Pittman,,,,,,
SG,Andy Rautins,11.27,,3.49,23.5,30.5,8.0
PF,Ryan Richards,11.33,,3.37,25.0,28.5,4.0
SF,Stanley Robinson,11.65,,3.23,,37.5,6.0
PF-C,Larry Sanders,12.49,,3.27,25.5,28.0,7.0
PG-SG,Jon Scheyer,,,,,,
SG,Lance Stephenson,11.39,,3.38,27.0,33.0,10.0
PG,Mikhail Torrance,11.43,,3.17,23.0,32.0,8.0
SG,Evan Turner,11.06,,3.27,27.5,34.5,9.0
PF,Ekpe Udoh,11.15,,3.29,31.0,33.5,10.0
PF-C,Jarvis Varnado,11.61,,3.37,29.5,32.5,3.0
PG-SG,Greivis Vasquez,,,,,,
PG,John Wall,10.84,,3.14,30.0,39.0,
SG-PG,Willie Warren,11.21,,3.5,23.0,31.5,10.0
SG-PG,Terrico White,11.38,,3.15,31.0,40.0,10.0
C-PF,Hassan Whiteside,11.83,,3.54,27.0,31.5,12.0
PF,Jeff Adrien,11.34,,3.32,27.5,31.5,16.0
PF,Jeff Ayres,11.98,,3.14,31.0,35.0,15.0
PG,Rodrigue Beaubois,10.49,,3.15,29.5,39.0,3.0
PF,DeJuan Blair,11.5,,3.45,26.0,33.0,18.0
SF-PF,Derrick Brown,11.26,,3.13,30.5,35.5,20.0
SF-SG,Chase Budinger,11.08,,3.24,29.5,38.5,10.0
PF-SF,DeMarre Carroll,,,,,,
SF,Omri Casspi,11.15,,3.28,25.5,32.5,2.0
SG,Dionte Christmas,10.83,,3.21,27.0,33.5,3.0
SF-PF,Earl Clark,11.17,,3.35,28.5,33.0,5.0
PG,Darren Collison,10.45,,3.1,30.5,33.5,9.0
PF,Dante Cunningham,11.18,,3.26,28.0,35.0,18.0
PG-SG,Stephen Curry,11.07,,3.28,29.5,35.5,10.0
SF-PF,Austin Daye,12.11,,3.55,25.0,28.0,
SG-SF,DeMar DeRozan,11.88,,3.31,29.0,38.5,5.0
PG,Toney Douglas,10.63,,3.03,28.0,32.5,15.0
SG,Wayne Ellington,11.14,,3.2,31.5,38.0,13.0
PG-SG,Tyreke Evans,11.81,,3.17,28.5,34.0,7.0
PG,Jonny Flynn,10.86,,3.23,33.0,40.0,10.0
PF,Taj Gibson,11.56,,3.41,25.5,30.0,12.0
SG-SF,Danny Green,11.3,,3.3,29.0,33.0,15.0
PF,Blake Griffin,10.95,,3.28,32.0,35.5,22.0
PF,Tyler Hansbrough,11.12,,3.27,27.5,34.0,18.0
SG,James Harden,11.1,,3.13,31.5,37.0,17.0
SG-SF,Gerald Henderson,11.17,,3.14,31.5,35.0,8.0
PF-C,Josh Heytvelt,11.67,,3.38,28.5,34.0,15.0
PF-C,Jordan Hill,12.23,,3.3,31.0,35.0,11.0
PG-SG,Jrue Holiday,10.64,,3.21,28.5,34.0,6.0
SF,Joe Ingles,10.66,,3.3,26.0,31.0,3.0
SF-PF,James Johnson,11.21,,3.23,30.5,35.0,18.0
PG,Ty Lawson,10.98,,3.12,29.0,36.5,14.0
PG,Eric Maynor,10.78,,3.19,28.5,31.5,8.0
SG-PG,Jack McClinton,10.44,,3.21,30.0,36.5,13.0
SG,Jerel McNeal,10.61,,3.25,31.5,36.5,10.0
SG,Jodie Meeks,10.96,,3.1,28.5,37.0,14.0
PG,Patty Mills,10.87,,3.1,27.5,33.0,8.0
C,Byron Mullens,11.1,,3.45,28.5,32.5,10.0
PG,A.J. Price,10.99,,3.22,26.0,31.0,11.0
SF,Tyler Smith,10.69,,3.24,29.0,33.5,10.0
SF,DaJuan Summers,10.94,,3.17,29.5,34.5,15.0
SG,Jermaine Taylor,11.54,,3.32,34.0,37.5,16.0
PG,Jeff Teague,11.05,,3.18,30.5,36.5,13.0
C,Hasheem Thabeet,,,,,,
SG,Marcus Thornton,10.73,,3.28,31.0,33.0,14.0
SG-SF,Terrence Williams,11.15,,3.18,30.5,37.0,9.0
SF-SG,Sam Young,11.47,,3.45,27.5,33.0,
SF-PF,Joe Alexander,11.33,,2.99,32.5,38.5,24.0
PF,Darrell Arthur,12.18,,3.14,28.5,30.0,12.0
PG,D.J. Augustin,11.27,,3.07,28.5,35.0,2.0
PG-SG,Jerryd Bayless,11.26,,3.07,31.0,38.0,10.0
PF-SF,Michael Beasley,11.06,,3.24,30.0,35.0,19.0
PG-SG,Ramel Bradley,10.68,,3.24,24.5,29.5,9.0
PG,Tyrone Brazelton,11.59,,3.25,30.0,34.0,8.0
PF,Takais Brown,12.47,,3.25,29.0,31.0,22.0
SF-PF,Keith Brumbaugh,11.65,,3.28,26.0,27.0,2.0
PG,Stanley Burrell,11.19,,3.19,29.5,34.5,21.0
C-PF,Brian Butch,11.87,,3.52,24.0,26.5,9.0
PG,Jamar Butler,,,,,,15.0
SF-PF,Pat Calathes,,,,,,7.0
SG,Joe Crawford,11.67,,3.22,31.0,36.0,13.0
C-PF,Chris Daniels,12.72,,3.56,26.0,28.5,11.0
PF-C,Joey Dorsey,11.84,,3.2,27.5,33.0,19.0
SF-PF,Marcus Dove,11.59,,3.26,27.5,33.5,10.0
PF,Josh Duncan,12.47,,3.26,28.0,32.0,26.0
PF,Frank Elegar,11.86,,3.17,33.5,37.5,11.0
SF-PF,Patrick Ewing Jr.,11.77,,3.43,35.0,42.0,2.0
SG,Gary Forbes,11.45,,3.25,27.5,33.5,13.0
SG,Shan Foster,12.3,,3.24,30.0,33.0,10.0
SG,J.R. Giddens,,,,,,10.0
PF,James Gist,11.37,,3.14,30.5,35.0,5.0
C,Vladimir Golubovic,12.4,,3.33,21.5,27.0,15.0
SG,Eric Gordon,10.81,,3.01,32.0,40.0,15.0
C,Kentrell Gransberry,12.16,,3.32,24.5,27.5,18.0
SF-PF,Donte Greene,11.21,,3.2,27.5,31.5,2.0
SG,Malik Hairston,11.33,,3.08,30.5,38.0,13.0
C-PF,DeVon Hardin,11.49,,3.33,29.5,32.0,20.0
PF,Richard Hendrix,10.62,,3.27,26.5,28.0,13.0
PG,George Hill,12.2,,3.07,34.0,37.5,9.0
SF-PF,Kyle Hines,12.17,,3.4,28.5,33.0,16.0
C-PF,Jiri Hubalek,12.26,,3.54,20.5,26.0,2.0
PG,Lester Hudson,11.15,,3.16,30.5,36.0,12.0
PF-SF,Othello Hunter,11.51,,3.18,28.0,34.5,7.0
PF,Darnell Jackson,11.75,,3.26,27.0,31.0,11.0
PF,Shawn James,,,,,,6.0
SF,Davon Jefferson,12.02,,3.36,27.0,32.0,2.0
PF,Joseph Jones,11.61,,3.33,25.5,31.0,16.0
C,DeAndre Jordan,12.3,,3.27,26.0,30.5,8.0
C-PF,Sasha Kaun,12.06,,3.2,29.0,32.0,13.0
SG,Marcelus Kemp,11.79,,3.39,26.0,30.0,9.0
SF,Maarty Leunen,11.57,,3.36,29.5,34.5,14.0
C,Longar Longar,,,,,,14.0
C,Brook Lopez,12.77,,3.57,27.5,30.5,7.0
PF,Kevin Love,11.17,,3.22,29.5,35.0,18.0
C,Aleks Maric,11.76,,3.35,23.0,28.0,15.0
SG-PG,O.J. Mayo,11.04,,3.14,30.5,41.0,7.0
PF,James Mays,11.23,,3.19,29.5,35.0,13.0
SF,Luc Mbah a Moute,11.71,,3.17,32.0,38.5,11.0
C-PF,JaVale McGee,12.75,,3.25,27.0,32.5,7.0
PG,Drew Neitzel,11.19,,3.2,25.5,32.0,10.0
PG-SG,DeMarcus Nelson,10.54,,3.13,34.5,38.5,19.0
C-PF,David Padgett,12.45,,3.45,24.0,28.0,17.0
PG,Jeremy Pargo,10.65,,3.07,32.0,37.0,7.0
PF,Trent Plaisted,11.32,,3.17,30.5,35.5,14.0
SF-PF,Quan Prowell,11.79,,3.14,32.0,36.0,16.0
C-PF,Shaun Pruitt,11.3,,3.4,27.0,32.5,10.0
PF-SF,Anthony Randolph,11.86,,3.26,29.0,35.0,7.0
PF,Charles Rhodes,11.51,,3.13,26.5,33.5,14.0
C,John Riek,,,,,,
PG,Brian Roberts,10.65,,3.05,31.5,36.5,10.0
PG,Russell Robinson,11.3,,3.15,25.0,31.5,8.0
SG-SF,Richard Roby,,,,,,
PG,Derrick Rose,11.69,,3.05,34.5,40.0,10.0
PG,Sean Singletary,,,,26.0,,18.0
PG,Ronald Steele,11.08,,3.26,25.0,29.5,5.0
SG-PG,Mike Taylor,10.98,,3.08,31.0,39.0,2.0
SG,Bryce Taylor,11.08,,3.19,34.5,41.0,16.0
SG-SF,Mark Tyndale,12.52,,3.14,27.0,33.5,5.0
SG,Robert Vaden,11.97,,3.4,26.0,29.5,10.0
SF,Deron Washington,11.03,,3.09,34.0,40.0,7.0
SG-SF,Sonny Weems,10.58,,2.96,29.0,36.5,12.0
PG,Russell Westbrook,10.98,,3.08,30.0,36.5,12.0
SG,Reggie Williams,11.32,,3.07,31.5,36.5,15.0
SF,Mohamed Abukar,11.78,,3.37,30.5,35.0,15.0
PF,Mario Boggan,12.18,,3.45,24.0,26.5,12.0
PF,Craig Bradshaw,11.88,,3.54,26.0,28.0,12.0
SF-SG,Corey Brewer,11.69,,3.22,30.5,36.5,11.0
PG,Aaron Brooks,10.57,,3.2,32.5,39.5,6.0
PG,Bobby Brown,11.27,,3.25,32.5,41.0,3.0
SG,Russell Carter,11.61,,3.29,33.0,38.5,25.0
PF,Coleman Collins,11.47,,,30.0,35.0,21.0
PG,Mike Conley,11.63,,3.09,35.5,40.5,13.0
SG,Daequan Cook,11.12,,3.22,30.0,34.5,4.0
C-PF,Ryvon Covile,12.52,,3.37,25.0,30.5,19.0
PG,Javaris Crittenton,11.6,,3.32,32.5,38.0,11.0
PF,Jermareo Davidson,12.63,,3.53,27.0,30.0,7.0
PF,Justin Doellman,,,,,,19.0
PG,Zabian Dowdell,11.13,,3.29,30.0,33.5,3.0
SF,Jared Dudley,11.32,,3.45,28.0,32.0,14.0
SF-PF,Kevin Durant,12.33,,3.45,26.0,33.5,
PF,Rashaun Freeman,11.43,,3.41,28.0,32.0,20.0
C,Aaron Gray,12.07,,3.7,27.0,32.5,17.0
PF,Caleb Green,11.72,,3.46,28.5,36.0,9.0
SF,Jeff Green,12.0,,3.34,33.5,38.0,17.0
PG,Taurean Green,11.3,,3.26,29.0,32.5,8.0
PF,Spencer Hawes,11.88,,3.51,26.0,29.0,9.0
PG,Brandon Heath,11.39,,3.28,32.0,36.0,11.0
C,Herbert Hill,12.31,,3.39,30.5,34.0,15.0
PF,Al Horford,12.15,,3.37,31.0,35.5,20.0
SF-SG,Quinton Hosley,12.47,,3.32,28.5,34.0,12.0
C,James Hughes,13.31,,3.37,31.0,33.0,8.0
SG,Jeremy Hunt,12.11,,3.29,30.5,33.0,10.0
PF,Ekene Ibekwe,11.0,,3.28,34.5,39.0,10.0
PG,Dominic James,10.94,,3.11,33.5,38.5,14.0
SG,Trey Johnson,11.78,,3.31,26.5,35.0,18.0
PF,Rashad Jones-Jennings,12.18,,3.29,25.0,30.0,20.0
PG,Jared Jordan,11.02,,3.39,24.5,28.5,6.0
SG-PG,Coby Karl,11.57,,3.41,32.0,34.5,9.0
PF,Antanas Kavaliauskas,11.19,,3.42,25.5,30.0,19.0
PF,Carl Landry,11.35,,3.29,31.5,36.5,21.0
PF,Stephane Lasme,11.73,,3.22,29.5,36.0,17.0
PG,Acie Law,11.0,,3.22,29.0,34.0,8.0
C,Marko Lekic,11.96,,3.43,24.0,30.5,19.0
SG,Ron Lewis,11.59,,3.22,33.0,38.0,16.0
SF,Cartier Martin,12.1,,3.43,27.0,29.5,11.0
SF,Dominic McGuire,10.95,,3.25,28.5,34.5,12.0
PF,Josh McRoberts,11.7,,3.47,27.5,31.5,12.0
SG,Sammy Mejia,11.87,,3.49,27.0,31.5,7.0
SG,Brad Newley,11.77,,3.29,29.5,31.5,3.0
SF,Demetris Nichols,10.39,,3.38,28.5,32.5,16.0
PF,Joakim Noah,11.79,,3.47,32.5,37.5,12.0
C,Greg Oden,11.67,,3.27,32.0,34.0,
PF,Ivan Radenovic,11.61,,3.6,23.0,28.0,7.0
PG,JR Reynolds,11.69,,3.24,27.5,34.5,15.0
PF,Chris Richard,11.39,,3.29,26.5,30.5,15.0
SG,Dustin Salisbery,11.07,,3.12,34.0,38.0,11.0
SG,Blake Schilb,11.63,,3.36,26.5,33.5,11.0
SG,Renaldas Seibutis,11.33,,3.39,24.0,32.5,1.0
PG,Ramon Sessions,11.65,,3.27,29.5,33.5,8.0
PG,Mustafa Shakur,11.82,,3.27,28.5,35.0,11.0
PF,Jason Smith,10.96,,3.29,33.5,37.5,15.0
SG,DJ Strawberry,10.87,,3.14,28.5,35.0,21.0
SG-PG,Rodney Stuckey,11.34,,3.11,30.5,35.0,14.0
SF,Curtis Sumpter,11.3,,3.22,27.5,32.5,12.0
SF,Yue Sun,10.68,,3.45,29.0,34.0,9.0
PG,Jamaal Tatum,11.51,,3.22,28.5,33.0,7.0
SF,Reyshawn Terry,11.76,,3.26,31.0,37.5,18.0
SF,Al Thornton,11.96,,3.16,35.0,41.0,9.0
PF,Anthony Tolliver,11.49,,3.29,28.5,30.0,21.0
C-PF,Ali Traore,12.16,,3.52,25.0,29.0,11.0
C,Kyle Visser,12.6,,3.39,26.0,29.0,18.0
C,Darryl Watkins,11.65,,3.56,26.5,31.0,14.0
C,Major Wingate,12.14,,3.47,27.5,30.5,15.0
PG,DaShaun Wood,11.4,,3.23,31.5,34.5,13.0
SF-PF,Julian Wright,11.48,,3.36,28.5,33.5,2.0
PF,Brandan Wright,11.76,,3.31,30.5,35.5,2.0
PF,Avis Wyatt,11.46,,3.23,27.5,32.0,12.0
,Jianlian Yi,,,,,,
SG-SF,Nick Young,11.0,,3.25,39.5,40.5,6.0
SF,Thaddeus Young,11.06,,3.19,34.5,37.0,13.0
PF-C,Kenny Adeleke,11.57,,3.47,28.5,30.5,26.0
SG-PG,Maurice Ager,11.73,,3.22,29.5,35.0,11.0
PF-C,LaMarcus Aldridge,12.02,,3.43,26.5,34.0,8.0
SG-SF,Morris Almond,11.45,,3.19,31.0,35.5,13.0
PF,Lou Amundson,10.58,,3.2,32.0,35.5,14.0
SG,Rashad Anderson,11.77,,3.48,27.5,32.5,13.0
C-PF,Hilton Armstrong,12.28,,3.53,28.5,31.5,13.0
PF,James Augustine,10.54,,3.25,30.0,32.5,13.0
SF-PF,Renaldo Balkman,11.58,,3.22,30.5,35.0,9.0
PF,J.P. Batista,11.62,,3.38,26.0,30.5,26.0
PG,Will Blalock,11.08,,3.18,35.0,40.0,8.0
SF,Brandon Bowman,11.41,,3.31,31.0,34.0,24.0
SG-PG,Ronnie Brewer,11.32,,3.14,35.0,41.0,19.0
SG-SF,Denham Brown,11.42,,3.25,28.0,34.5,12.0
PF,Brad Buckman,12.26,,3.54,25.5,30.5,10.0
SF,Nik Caner-Medley,10.57,,3.21,28.5,35.5,17.0
SG-SF,Rodney Carney,10.57,,3.06,32.0,38.5,10.0
PG,Keydren Clark,11.03,,3.11,31.0,34.0,13.0
PG-SG,Mardy Collins,12.0,,3.27,31.5,37.5,9.0
SG-PG,Taquan Dean,10.53,,3.2,30.5,34.5,16.0
PF-C,Terence Dials,11.54,,3.5,26.5,30.0,16.0
PG-SG,Sean Dockery,10.88,,3.34,29.0,33.0,4.0
PG,Jordan Farmar,11.07,,3.17,33.5,42.0,11.0
SG-PG,Randy Foye,10.53,,3.23,32.0,38.0,14.0
PF-C,Torin Francis,11.97,,3.51,26.5,32.0,9.0
SF-PF,Rudy Gay,11.03,,3.32,33.0,40.5,9.0
SF-SG,Nick George,11.69,,3.25,30.5,38.0,14.0
PF-SF,Taj Gray,11.02,,3.45,28.5,33.0,10.0
SF-SG,Dan Grunfeld,11.3,,3.46,28.0,33.5,16.0
PF-C,Matt Haryasz,11.34,,3.46,27.5,31.5,10.0
PF,Eric Hicks,12.06,,3.34,30.0,34.0,20.0
SF-PF,Tedric Hill,12.23,,3.24,30.0,36.5,1.0
PG-SG,Daniel Horton,10.35,,3.16,30.0,36.5,17.0
SF-SG,Bobby Jones,11.23,,3.28,28.5,34.5,15.0
PF-C,Solomon Jones,11.27,,3.3,32.0,39.0,6.0
SG-PG,Viktor Keyru,11.4,,3.24,29.0,34.5,11.0
PF,Marco Killingsworth,11.42,,3.34,28.0,32.0,13.0
SF-SG,Tarence Kinsey,10.67,,3.3,29.0,35.5,5.0
PG,Carl Krauser,11.62,,3.38,26.0,31.0,8.0
SG,Chris McCray,11.46,,3.34,30.5,39.0,1.0
PG-SG,Gerry McNamara,11.28,,3.4,27.0,32.0,3.0
PF-C,Pops Mensah-Bonsu,11.47,,3.29,31.5,36.0,19.0
PF-C,Paul Miller,12.25,,3.66,29.0,35.5,25.0
PF,Paul Millsap,11.67,,3.3,28.5,32.5,15.0
SG-SF,Dwayne Mitchell,11.45,,3.16,37.5,41.5,17.0
SF,Adam Morrison,11.46,,3.37,25.5,30.5,11.0
PF-C,Yemi Nicholson,12.57,,3.65,26.5,26.0,8.0
SF-SG,David Noel,10.54,,3.07,34.5,38.5,20.0
SF,Steve Novak,11.11,,3.37,24.5,31.0,5.0
C,Patrick O'Bryant,12.68,,3.63,26.5,30.0,13.0
PG-SG,Danilo Pinnock,11.91,,3.08,29.5,35.5,7.0
PG-SG,Chris Quinn,11.25,,3.25,32.0,37.0,7.0
SG,Allan Ray,11.01,,3.2,28.5,35.5,9.0
SG,JJ Redick,10.94,,3.29,27.5,33.0,6.0
SF-PF,Antywane Robinson,11.73,,3.4,29.0,32.5,12.0
SG-SF,Brandon Roy,11.13,,3.27,34.0,40.5,6.0
PG-SG,Blake Schilb,11.25,,3.43,28.5,34.5,13.0
C,Mouhamed Sene,12.52,,3.38,28.5,31.0,7.0
PF-C,Cedric Simmons,11.05,,3.31,30.5,35.0,15.0
PF-SF,Marcus Slaughter,11.56,,3.4,30.0,34.0,9.0
PF,Craig Smith,11.59,,3.4,30.0,29.5,
SF-PF,Steven Smith,12.08,,3.4,29.5,34.5,15.0
C,Michael Southhall,12.29,,3.51,31.5,37.0,2.0
C,Frans Steyn,11.67,,3.38,28.5,29.5,
SG,Curtis Stinson,10.95,,3.27,28.0,31.5,17.0
PF-SF,Tyrus Thomas,11.36,,3.2,34.0,39.5,8.0
SF-SG,Joah Tucker,11.58,,3.31,29.0,34.0,19.0
C-PF,Ian Vouyoukas,13.7,,3.72,23.0,28.0,8.0
PG,Darius Washington,10.71,,3.26,29.0,37.5,9.0
PG,CJ Watson,11.61,,3.15,31.5,34.0,12.0
PG,Marcus Williams,11.3,,3.4,24.5,28.0,4.0
SF-PF,Shawne Williams,10.69,,3.3,32.0,31.0,
C-PF,Justin Williams,11.9,,3.31,26.5,31.5,7.0
PF-C,Shelden Williams,11.53,,3.59,29.0,33.5,25.0
C-PF,Eric Williams,11.71,,3.56,28.5,29.0,17.0
PF-SF,Curtis Withers,11.54,,3.1,35.0,36.5,14.0
SG,Alex Acker,11.67,,3.35,28.0,32.0,11.0
C-PF,Deji Akindele,12.58,,3.35,30.5,32.5,13.0
PF-C,Mustafa Al-Sayyad,11.56,,3.42,26.5,30.5,
PF-SF,Nemanja Aleksandrov,,,,,,5.0
SG-SF,Alan Anderson,10.32,,3.27,26.5,30.5,10.0
C-PF,Martynas Andriuskevicius,11.94,,3.42,24.0,27.5,
SF,Sean Banks,11.74,,3.35,25.0,31.5,7.0
SG-SF,Eddie Basden,10.52,,3.21,33.0,36.5,14.0
SF-PF,Mike Bell,11.73,,3.29,33.5,39.5,13.0
C-PF,Andrew Bogut,12.06,,3.51,27.5,33.5,13.0
PG-SG,Dee Brown,,,,,,
PG-SG,Will Bynum,11.12,,3.0,33.0,40.5,15.0
C,Marcus Campbell,,,,,,9.0
PG,Will Conroy,10.51,,3.28,30.5,36.5,14.0
PF-SF,Taylor Coppenrath,11.51,,3.44,24.5,27.0,5.0
PG-SG,Travis Diener,10.85,,3.26,24.5,31.0,1.0
PF,Ike Diogu,11.94,,3.45,28.0,31.0,21.0
PG,Daryl Dorsey,11.41,,3.24,25.0,30.5,
SG-PG,Monta Ellis,12.13,,3.31,26.5,31.5,
PG,Raymond Felton,10.5,,3.06,29.0,33.5,6.0
SG,Rudy Fernandez,10.48,,3.33,26.5,35.5,
C-PF,D'Or Fischer,12.53,,3.5,28.0,30.5,2.0
C-PF,Eddy Fobbs,11.53,,3.28,29.5,34.0,12.0
PF,Sharrod Ford,11.92,,3.2,28.5,37.0,9.0
PF-C,Channing Frye,11.6,,3.38,27.5,31.0,19.0
PF-C,Deng Gai,12.51,,3.27,31.5,35.5,11.0
SF-SG,Francisco Garcia,10.63,,3.33,27.5,31.5,5.0
PG,John Gilchrist,11.48,,3.15,30.5,36.5,12.0
PF-C,Marcin Gortat,11.48,,3.33,29.5,36.0,18.0
SF,Joey Graham,10.62,,3.05,30.0,36.0,26.0
,Danny Granger,10.84,,3.34,31.0,34.0,10.0
SF,Gerald Green,11.2,,3.21,31.5,39.0,7.0
SF-PF,Charles Hayes,10.7,,3.34,30.0,33.0,20.0
PG-SG,Luther Head,11.12,,3.21,31.5,38.5,14.0
SG-SF,Julius Hodge,10.89,,3.18,24.5,29.0,14.0
C-PF,Jared Homan,,,,,,16.0
SF,Ersan Ilyasova,11.59,,3.56,22.0,30.0,2.0
PG,Jarrett Jack,10.87,,3.24,26.0,28.5,5.0
C-PF,Dwayne Jones,11.87,,3.25,28.0,31.5,15.0
SF-PF,Mindaugas Katelynas,11.6,,3.38,31.5,35.0,7.0
C-PF,Jason Klotz,13.13,,3.68,21.5,27.0,12.0
PG-SG,Carl Krauser,11.62,,3.38,26.0,31.0,8.0
SG-SF,Keith Langford,11.38,,3.23,32.0,29.5,8.0
PF,David Lee,10.8,,3.19,30.5,32.5,14.0
PF,David Lucas,,,,,,17.0
PG,John Lucas III,10.44,,3.14,29.0,34.0,4.0
SG-SF,Rawle Marshall,11.64,,3.21,30.5,37.0,7.0
PF,Jason Maxiell,,,,,,
PF,Sean May,11.04,,3.29,30.0,33.0,12.0
SG,Rashad McCants,10.39,,3.11,32.5,34.5,15.0
PF,Ivan McFarlin,10.64,,3.27,26.5,32.0,10.0
PF-SF,Juan Mendez,11.7,,3.24,29.0,33.0,14.0
PG,Aaron Miles,10.69,,3.22,32.0,37.5,7.0
PF,Ellis Myles,12.8,,3.42,26.0,28.5,15.0
SG,Larry O'Bannon,11.44,,3.18,31.5,36.5,17.0
SF-PF,Drago Pasalic,12.12,,3.48,25.0,30.5,11.0
PG,Chris Paul,11.09,,3.22,32.0,38.0,10.0
PF,Kevin Pittsnogle,,,,,,
SF-PF,Carlos Powell,11.54,,3.21,27.5,34.5,12.0
SF,Roger Powell,,,,,,
PG,Ronnie Price,10.49,,3.29,31.5,39.0,11.0
PG,Anthony Roberson,11.17,,3.19,31.5,37.0,14.0
SG-SF,Brandon Rush,11.33,,3.31,32.5,35.0,
C,Luke Schenscher,12.4,,3.47,23.5,26.5,1.0
PF,Wayne Simien,11.05,,3.35,27.0,27.5,11.0
SG-SF,Tre Simmons,10.8,,3.18,27.0,31.5,3.0
C-PF,David Simon,11.98,,3.44,28.0,33.0,18.0
PF,Chris Taft,11.26,,3.27,28.5,33.0,14.0
PG,Chris Thomas,10.84,,3.33,28.5,34.0,14.0
SF-SG,Omar Thomas,11.11,,3.27,25.0,29.5,6.0
SF-SG,Dijon Thompson,,,,,,
PF,Ronny Turiaf,11.5,,3.23,30.5,33.0,15.0
PF-SF,Charlie Villanueva,10.86,,3.3,26.0,31.0,11.0
PF-SF,Hakim Warrick,,,3.22,33.0,38.0,11.0
SF,Martell Webster,11.39,,3.39,28.0,30.5,7.0
PF-C,Robert Whaley,12.11,,3.25,28.5,33.5,15.0
PF-SF,Marvin Williams,11.11,,3.17,29.5,35.0,12.0
PG,Deron Williams,10.83,,3.25,30.0,35.0,15.0
SF,Jawad Williams,11.39,,3.23,28.0,34.0,15.0
SF-SG,Antoine Wright,11.45,,3.41,26.5,29.5,12.0
SG-PG,Bracey Wright,11.58,,3.27,30.0,36.0,8.0
SG,Tony Allen,10.7,,3.19,31.5,36.5,17.0
SG-SF,Trevor Ariza,11.63,,3.29,29.5,32.0,8.0
PG,Andre Barrett,10.63,,3.08,29.0,34.5,13.0
PF,Brandon Bass,11.61,,3.24,31.5,33.0,18.0
C,Andris Biedrins,,,,,,
SG,Tony Bobbitt,,,,,,1.0
